emp_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
100252,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100434,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100253,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100254,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100263,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100269,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100284,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100365,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100367,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100368,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100370,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100375,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100376,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
