emp_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
100430,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,L,,P,P,P,A,A,A,,A,A,A,A
100316,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100307,P,P,S,S,S,,S,S,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100332,P,P,P,P,P,,P,A,P,P,P,P,,P,P,P,P,L,P,,P,P,P,P,L,L,,L,P,P,P
100289,P,P,P,P,P,,P,P,P,P,P,P,,L,L,P,P,L,L,,L,P,L,P,P,P,,P,P,P,P
100277,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,L,P,SL,P,P,,P,P,P,P
100330,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100343,P,P,P,P,P,,P,P,P,SL,P,L,,P,P,P,L,L,P,,P,P,L,P,P,P,,P,P,P,P
100347,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,L,P,L,P,P,P,,P,P,P,P
100346,P,P,P,P,P,,P,P,P,P,P,P,,L,L,P,P,L,L,,L,P,L,P,P,P,,P,P,P,P
100357,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,A,A,P,,P,P,P,P
100358,P,P,P,P,P,,P,P,P,P,L,P,,P,P,L,P,L,P,,P,P,P,P,P,P,,P,P,P,P
100362,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100350,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100385,P,P,P,P,P,,P,P,P,P,P,L,,P,P,L,P,L,P,,P,P,P,L,P,P,,P,P,P,P
100387,P,P,P,P,P,,P,P,P,P,P,P,,L,P,P,P,P,P,,P,P,P,L,P,P,,P,P,P,L
100388,P,P,P,P,P,,P,P,P,P,P,L,,P,P,L,P,L,L,,P,P,P,L,P,P,,P,P,P,P
100386,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100392,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100250,,,,,,,,,,,,,,,,,,,P,,P,P,P,P,P,P,,P,P,P,P
100401,,,,,,,,,,,,,,,,,,P,P,,P,P,P,P,P,P,,P,P,P,P
100315,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,L,P,P,,P,P,SL,P,L,P,,P,P,P,P
100304,AL,AL,AL,AL,AL,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100377,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100345,P,P,L,P,A,,P,P,P,P,P,P,,P,P,P,P,P,L,,P,P,L,P,P,P,,P,L,P,P
100249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
