emp_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
100405,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100406,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100407,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100408,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100409,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100413,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100414,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100416,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100417,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100418,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100419,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100420,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100421,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100349,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100431,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100432,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100441,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100442,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
100443,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P,P,P,,P,P,P,P
